,Source,Target,Type,Id,Weight
0,0,3,Directed,0,1
1,0,4524,Directed,1,1
2,1,981,Directed,2,1
3,1,1559,Directed,3,1
4,1,1729,Directed,4,1
5,1,3405,Directed,5,1
6,1,5047,Directed,6,1
7,3,832,Directed,7,1
8,3,1326,Directed,8,1
9,3,1676,Directed,9,1
10,3,1987,Directed,10,1
11,3,2155,Directed,11,1
12,3,2298,Directed,12,1
13,3,2623,Directed,13,1
14,3,4128,Directed,14,1
15,3,4204,Directed,15,1
16,3,4366,Directed,16,1
17,3,4436,Directed,17,1
18,3,4943,Directed,18,1
19,3,5098,Directed,19,1
20,3,5357,Directed,20,1
21,4,235,Directed,21,1
22,4,272,Directed,22,1
23,4,287,Directed,23,1
24,4,486,Directed,24,1
25,4,843,Directed,25,1
26,4,897,Directed,26,1
27,4,898,Directed,27,1
28,4,912,Directed,28,1
29,4,927,Directed,29,1
30,4,1000,Directed,30,1
31,4,1221,Directed,31,1
32,4,1249,Directed,32,1
33,4,1433,Directed,33,1
34,4,1476,Directed,34,1
35,4,1643,Directed,35,1
36,4,1852,Directed,36,1
37,4,2013,Directed,37,1
38,4,2405,Directed,38,1
39,4,2796,Directed,39,1
40,4,2963,Directed,40,1
41,4,3207,Directed,41,1
42,4,3304,Directed,42,1
43,4,3780,Directed,43,1
44,4,3792,Directed,44,1
45,4,4015,Directed,45,1
46,4,4385,Directed,46,1
47,4,4417,Directed,47,1
48,4,4913,Directed,48,1
49,4,5120,Directed,49,1
50,5,353,Directed,50,1
51,5,1200,Directed,51,1
52,5,1294,Directed,52,1
53,5,2121,Directed,53,1
54,5,3328,Directed,54,1
55,5,3904,Directed,55,1
56,5,4175,Directed,56,1
57,5,4422,Directed,57,1
58,5,4718,Directed,58,1
59,5,4791,Directed,59,1
60,5,5055,Directed,60,1
61,5,5223,Directed,61,1
62,5,5469,Directed,62,1
63,5,5546,Directed,63,1
64,6,151,Directed,64,1
65,6,835,Directed,65,1
66,6,1459,Directed,66,1
67,6,2856,Directed,67,1
68,6,3950,Directed,68,1
69,6,5047,Directed,69,1
70,6,5254,Directed,70,1
71,8,1052,Directed,71,1
72,10,269,Directed,72,1
73,12,1633,Directed,73,1
74,12,3001,Directed,74,1
75,12,4610,Directed,75,1
76,12,5504,Directed,76,1
77,13,63,Directed,77,1
78,13,276,Directed,78,1
79,13,316,Directed,79,1
80,13,328,Directed,80,1
81,13,417,Directed,81,1
82,13,528,Directed,82,1
83,13,547,Directed,83,1
84,13,711,Directed,84,1
85,13,976,Directed,85,1
86,13,1083,Directed,86,1
87,13,1232,Directed,87,1
88,13,1315,Directed,88,1
89,13,1409,Directed,89,1
90,13,1410,Directed,90,1
91,13,1500,Directed,91,1
92,13,1651,Directed,92,1
93,13,1725,Directed,93,1
94,13,1856,Directed,94,1
95,13,2124,Directed,95,1
96,13,2154,Directed,96,1
97,13,2156,Directed,97,1
98,13,2288,Directed,98,1
99,13,2389,Directed,99,1
100,13,2430,Directed,100,1
101,13,2531,Directed,101,1
102,13,2536,Directed,102,1
103,13,2675,Directed,103,1
104,13,2749,Directed,104,1
105,13,2895,Directed,105,1
106,13,2989,Directed,106,1
107,13,3001,Directed,107,1
108,13,3359,Directed,108,1
109,13,3384,Directed,109,1
110,13,3617,Directed,110,1
111,13,3659,Directed,111,1
112,13,3925,Directed,112,1
113,13,4191,Directed,113,1
114,13,4340,Directed,114,1
115,13,4344,Directed,115,1
116,13,4434,Directed,116,1
117,13,4435,Directed,117,1
118,13,4490,Directed,118,1
119,13,4610,Directed,119,1
120,13,4836,Directed,120,1
121,13,4940,Directed,121,1
122,13,5009,Directed,122,1
123,13,5294,Directed,123,1
124,13,5355,Directed,124,1
125,13,5546,Directed,125,1
126,14,1552,Directed,126,1
127,14,4782,Directed,127,1
128,15,768,Directed,128,1
129,15,1165,Directed,129,1
130,15,1246,Directed,130,1
131,15,2048,Directed,131,1
132,15,2089,Directed,132,1
133,15,2337,Directed,133,1
134,15,2472,Directed,134,1
135,15,2587,Directed,135,1
136,15,3307,Directed,136,1
137,15,4025,Directed,137,1
138,15,4114,Directed,138,1
139,15,4372,Directed,139,1
140,15,4937,Directed,140,1
141,15,5346,Directed,141,1
142,16,287,Directed,142,1
143,16,1030,Directed,143,1
144,16,2105,Directed,144,1
145,16,2405,Directed,145,1
146,16,3409,Directed,146,1
147,16,4074,Directed,147,1
148,16,4111,Directed,148,1
149,16,4363,Directed,149,1
150,16,4712,Directed,150,1
151,16,5375,Directed,151,1
152,17,98,Directed,152,1
153,17,464,Directed,153,1
154,17,593,Directed,154,1
155,17,818,Directed,155,1
156,17,1175,Directed,156,1
157,17,1191,Directed,157,1
158,17,1253,Directed,158,1
159,17,1493,Directed,159,1
160,17,1578,Directed,160,1
161,17,1622,Directed,161,1
162,17,2046,Directed,162,1
163,17,2113,Directed,163,1
164,17,2715,Directed,164,1
165,17,2771,Directed,165,1
166,17,2958,Directed,166,1
167,17,3057,Directed,167,1
168,17,3206,Directed,168,1
169,17,3228,Directed,169,1
170,17,3275,Directed,170,1
171,17,3376,Directed,171,1
172,17,3388,Directed,172,1
173,17,3433,Directed,173,1
174,17,3678,Directed,174,1
175,17,4283,Directed,175,1
176,17,4310,Directed,176,1
177,17,4559,Directed,177,1
178,17,4826,Directed,178,1
179,17,5057,Directed,179,1
180,17,5136,Directed,180,1
181,17,5166,Directed,181,1
182,17,5383,Directed,182,1
183,18,5550,Directed,183,1
184,19,152,Directed,184,1
185,19,762,Directed,185,1
186,19,863,Directed,186,1
187,19,1827,Directed,187,1
188,19,2171,Directed,188,1
189,19,2199,Directed,189,1
190,19,3658,Directed,190,1
191,19,4027,Directed,191,1
192,19,4350,Directed,192,1
193,19,5157,Directed,193,1
194,20,329,Directed,194,1
195,21,2469,Directed,195,1
196,21,2671,Directed,196,1
197,21,4929,Directed,197,1
198,22,880,Directed,198,1
199,22,4492,Directed,199,1
200,24,317,Directed,200,1
201,24,341,Directed,201,1
202,24,975,Directed,202,1
203,24,984,Directed,203,1
204,24,1656,Directed,204,1
205,24,2710,Directed,205,1
206,24,2947,Directed,206,1
207,24,3312,Directed,207,1
208,24,4027,Directed,208,1
209,24,4350,Directed,209,1
210,24,4371,Directed,210,1
211,24,4546,Directed,211,1
212,24,4657,Directed,212,1
213,24,4721,Directed,213,1
214,24,4956,Directed,214,1
215,25,5354,Directed,215,1
216,27,134,Directed,216,1
217,27,416,Directed,217,1
218,27,575,Directed,218,1
219,27,836,Directed,219,1
220,27,2313,Directed,220,1
221,27,2354,Directed,221,1
222,27,2971,Directed,222,1
223,27,3452,Directed,223,1
224,27,3897,Directed,224,1
225,27,4368,Directed,225,1
226,27,4425,Directed,226,1
227,27,4491,Directed,227,1
228,27,5122,Directed,228,1
229,27,5178,Directed,229,1
230,28,573,Directed,230,1
231,28,707,Directed,231,1
232,28,969,Directed,232,1
233,28,1290,Directed,233,1
234,28,1491,Directed,234,1
235,28,1533,Directed,235,1
236,28,2094,Directed,236,1
237,28,3894,Directed,237,1
238,28,3910,Directed,238,1
239,28,4005,Directed,239,1
240,28,4538,Directed,240,1
241,28,4774,Directed,241,1
242,28,4824,Directed,242,1
243,28,4848,Directed,243,1
244,29,4695,Directed,244,1
245,31,5275,Directed,245,1
246,32,206,Directed,246,1
247,32,540,Directed,247,1
248,32,645,Directed,248,1
249,32,1044,Directed,249,1
250,32,2851,Directed,250,1
251,32,2967,Directed,251,1
252,32,4086,Directed,252,1
253,32,4162,Directed,253,1
254,32,4261,Directed,254,1
255,32,4281,Directed,255,1
256,32,4513,Directed,256,1
257,32,4715,Directed,257,1
258,32,4893,Directed,258,1
259,32,4952,Directed,259,1
260,32,5192,Directed,260,1
261,32,5409,Directed,261,1
262,32,5454,Directed,262,1
263,32,5470,Directed,263,1
264,33,2425,Directed,264,1
265,34,258,Directed,265,1
266,35,2985,Directed,266,1
267,36,780,Directed,267,1
268,36,981,Directed,268,1
269,36,1962,Directed,269,1
270,36,2138,Directed,270,1
271,36,4150,Directed,271,1
272,38,3680,Directed,272,1
273,39,1712,Directed,273,1
274,40,337,Directed,274,1
275,41,860,Directed,275,1
276,41,1250,Directed,276,1
277,41,1687,Directed,277,1
278,41,2238,Directed,278,1
279,41,2514,Directed,279,1
280,41,2712,Directed,280,1
281,41,2720,Directed,281,1
282,41,2878,Directed,282,1
283,41,5352,Directed,283,1
284,46,2748,Directed,284,1
285,48,208,Directed,285,1
286,48,243,Directed,286,1
287,48,314,Directed,287,1
288,48,491,Directed,288,1
289,48,510,Directed,289,1
290,48,517,Directed,290,1
291,48,728,Directed,291,1
292,48,812,Directed,292,1
293,48,1138,Directed,293,1
294,48,1209,Directed,294,1
295,48,1366,Directed,295,1
296,48,1539,Directed,296,1
297,48,1576,Directed,297,1
298,48,1587,Directed,298,1
299,48,1683,Directed,299,1
300,48,1685,Directed,300,1
301,48,1841,Directed,301,1
302,48,1876,Directed,302,1
303,48,2042,Directed,303,1
304,48,2061,Directed,304,1
305,48,2066,Directed,305,1
306,48,2316,Directed,306,1
307,48,2341,Directed,307,1
308,48,2368,Directed,308,1
309,48,2498,Directed,309,1
310,48,2569,Directed,310,1
311,48,2597,Directed,311,1
312,48,2649,Directed,312,1
313,48,2816,Directed,313,1
314,48,3016,Directed,314,1
315,48,3185,Directed,315,1
316,48,3269,Directed,316,1
317,48,3272,Directed,317,1
318,48,3325,Directed,318,1
319,48,3361,Directed,319,1
320,48,3808,Directed,320,1
321,48,4048,Directed,321,1
322,48,4092,Directed,322,1
323,48,4097,Directed,323,1
324,48,4123,Directed,324,1
325,48,4219,Directed,325,1
326,48,4327,Directed,326,1
327,48,4470,Directed,327,1
328,48,4472,Directed,328,1
329,48,4651,Directed,329,1
330,48,4810,Directed,330,1
331,48,4991,Directed,331,1
332,48,5077,Directed,332,1
333,48,5186,Directed,333,1
334,48,5496,Directed,334,1
335,48,5502,Directed,335,1
336,52,99,Directed,336,1
337,52,341,Directed,337,1
338,52,1470,Directed,338,1
339,52,1531,Directed,339,1
340,52,1640,Directed,340,1
341,52,2851,Directed,341,1
342,52,3192,Directed,342,1
343,52,4022,Directed,343,1
344,52,4721,Directed,344,1
345,52,4731,Directed,345,1
346,52,5397,Directed,346,1
347,53,857,Directed,347,1
348,53,1196,Directed,348,1
349,53,2136,Directed,349,1
350,53,5070,Directed,350,1
351,55,1493,Directed,351,1
352,55,2768,Directed,352,1
353,55,2896,Directed,353,1
354,55,2984,Directed,354,1
355,55,3105,Directed,355,1
356,55,3206,Directed,356,1
357,55,3460,Directed,357,1
358,55,4943,Directed,358,1
359,56,1371,Directed,359,1
360,56,3543,Directed,360,1
361,58,1342,Directed,361,1
362,58,4673,Directed,362,1
363,58,5050,Directed,363,1
