,Source,Target,Type,Id,Weight,color
0,0,1,Directed,0,1,u
1,0,243,Directed,1,1,u
2,0,1519,Directed,2,1,u
3,0,1594,Directed,3,1,u
4,0,1617,Directed,4,1,u
5,0,1618,Directed,5,1,u
6,0,1822,Directed,6,1,u
7,0,1897,Directed,7,1,u
8,0,3155,Directed,8,1,u
9,0,3920,Directed,9,1,u
10,0,4020,Directed,10,1,u
11,0,4515,Directed,11,1,u
12,2,3,Directed,12,1,h
13,2,264,Directed,13,1,h
14,2,1267,Directed,14,1,h
15,2,1652,Directed,15,1,h
16,2,1816,Directed,16,1,h
17,2,1847,Directed,17,1,h
18,2,2742,Directed,18,1,h
19,2,3097,Directed,19,1,h
20,2,3289,Directed,20,1,h
21,2,3642,Directed,21,1,h
22,2,3807,Directed,22,1,h
23,2,4790,Directed,23,1,h
24,3,553,Directed,24,1,O
25,3,556,Directed,25,1,O
26,3,1184,Directed,26,1,O
27,3,1193,Directed,27,1,O
28,3,1861,Directed,28,1,O
29,3,2278,Directed,29,1,O
30,3,2300,Directed,30,1,O
31,3,2394,Directed,31,1,O
32,3,2466,Directed,32,1,O
33,3,2839,Directed,33,1,O
34,3,3341,Directed,34,1,O
35,3,3817,Directed,35,1,O
36,3,3871,Directed,36,1,O
37,3,3918,Directed,37,1,O
38,3,4963,Directed,38,1,O
39,3,4969,Directed,39,1,O
40,3,5022,Directed,40,1,O
41,3,5155,Directed,41,1,O
42,3,5207,Directed,42,1,O
43,3,5213,Directed,43,1,O
44,3,5226,Directed,44,1,O
45,3,5320,Directed,45,1,O
46,4,3,Directed,46,1,l
47,4,5,Directed,47,1,l
48,4,11,Directed,48,1,l
49,4,13,Directed,49,1,l
50,4,14,Directed,50,1,l
51,4,15,Directed,51,1,l
52,4,16,Directed,52,1,l
53,4,18,Directed,53,1,l
54,4,22,Directed,54,1,l
55,4,29,Directed,55,1,l
56,4,40,Directed,56,1,l
57,4,46,Directed,57,1,l
58,4,53,Directed,58,1,l
59,4,59,Directed,59,1,l
60,4,60,Directed,60,1,l
61,4,69,Directed,61,1,l
62,4,72,Directed,62,1,l
63,4,109,Directed,63,1,l
64,4,122,Directed,64,1,l
65,4,125,Directed,65,1,l
66,4,126,Directed,66,1,l
67,4,127,Directed,67,1,l
68,4,141,Directed,68,1,l
69,4,148,Directed,69,1,l
70,4,151,Directed,70,1,l
71,4,152,Directed,71,1,l
72,4,174,Directed,72,1,l
73,4,223,Directed,73,1,l
74,4,229,Directed,74,1,l
75,4,265,Directed,75,1,l
76,4,268,Directed,76,1,l
77,4,274,Directed,77,1,l
78,4,275,Directed,78,1,l
79,4,281,Directed,79,1,l
80,4,297,Directed,80,1,l
81,4,298,Directed,81,1,l
82,4,304,Directed,82,1,l
83,4,308,Directed,83,1,l
84,4,311,Directed,84,1,l
85,4,312,Directed,85,1,l
86,4,313,Directed,86,1,l
87,4,320,Directed,87,1,l
88,4,324,Directed,88,2,l
89,4,325,Directed,89,1,l
90,4,326,Directed,90,1,l
91,4,405,Directed,91,1,l
92,4,432,Directed,92,1,l
93,4,434,Directed,93,1,l
94,4,440,Directed,94,1,l
95,4,442,Directed,95,1,l
96,4,443,Directed,96,1,l
97,4,446,Directed,97,1,l
98,4,448,Directed,98,1,l
99,4,459,Directed,99,1,l
100,4,481,Directed,100,1,l
101,4,482,Directed,101,1,l
102,4,491,Directed,102,1,l
103,4,492,Directed,103,1,l
104,4,500,Directed,104,1,l
105,4,523,Directed,105,1,l
106,4,524,Directed,106,1,l
107,4,527,Directed,107,1,l
108,4,528,Directed,108,1,l
109,4,533,Directed,109,1,l
110,4,534,Directed,110,1,l
111,4,535,Directed,111,1,l
112,4,544,Directed,112,1,l
113,4,575,Directed,113,1,l
114,4,597,Directed,114,1,l
115,4,598,Directed,115,1,l
116,4,626,Directed,116,1,l
117,4,627,Directed,117,1,l
118,4,628,Directed,118,1,l
119,4,648,Directed,119,1,l
120,4,652,Directed,120,1,l
121,4,672,Directed,121,1,l
122,4,676,Directed,122,1,l
