Id,Label,Weight,color,Type
0,The Oak Ridge Boys,2.6939655172413796e-05,A,Directed
1,T. Rex,2.6939655172413796e-05,A,Directed
2,Off Broadway,2.6939655172413796e-05,A,Directed
3,Gwen Stefani,2.6939655172413796e-05,A,Directed
4,Rory Gallagher,2.6939655172413796e-05,A,Directed
5,Xavier OmÃ¤r,2.6939655172413796e-05,A,Directed
6,Junior Murvin,2.6939655172413796e-05,A,Directed
7,Spirit,2.6939655172413796e-05,A,Directed
8,Al Bowlly,2.6939655172413796e-05,A,Directed
9,"Emerson, Lake & Palmer",2.6939655172413796e-05,A,Directed
10,Tedeschi Trucks Band,2.6939655172413796e-05,A,Directed
11,Material Issue,2.6939655172413796e-05,A,Directed
12,Mungo Jerry,2.6939655172413796e-05,A,Directed
13,Art Farmer,2.6939655172413796e-05,A,Directed
14,Jon Hassell,2.6939655172413796e-05,A,Directed
15,Travis Tritt,2.6939655172413796e-05,A,Directed
16,Stevie Nicks,2.6939655172413796e-05,A,Directed
17,Brewer & Shipley,2.6939655172413796e-05,A,Directed
18,Underworld,2.6939655172413796e-05,A,Directed
19,The Ethiopians,2.6939655172413796e-05,A,Directed
20,Kat DeLuna,2.6939655172413796e-05,A,Directed
21,Canned Heat,2.6939655172413796e-05,A,Directed
22,Daley,2.6939655172413796e-05,A,Directed
23,A.R. Kane,2.6939655172413796e-05,A,Directed
24,Primal Scream,2.6939655172413796e-05,A,Directed
25,Dionne Warwick,2.6939655172413796e-05,A,Directed
26,Leela James,2.6939655172413796e-05,A,Directed
27,M83,2.6939655172413796e-05,A,Directed
28,The Veldt,2.6939655172413796e-05,A,Directed
29,Les Nubians,2.6939655172413796e-05,A,Directed
30,The Country Gentlemen,2.6939655172413796e-05,A,Directed
31,Kid Rock,2.6939655172413796e-05,A,Directed
32,Devo,2.6939655172413796e-05,A,Directed
33,Marlena Shaw,2.6939655172413796e-05,A,Directed
34,Slim Smith,2.6939655172413796e-05,A,Directed
35,Anne Murray,2.6939655172413796e-05,A,Directed
36,Keri Hilson,2.6939655172413796e-05,A,Directed
37,The Dirty Dozen Brass Band,2.6939655172413796e-05,A,Directed
38,The 13th Floor Elevators,2.6939655172413796e-05,A,Directed
39,Blind Faith,2.6939655172413796e-05,A,Directed
40,Gheorghe Zamfir,2.6939655172413796e-05,A,Directed
41,PJ Harvey,2.6939655172413796e-05,A,Directed
42,Christina Aguilera,2.6939655172413796e-05,A,Directed
43,Esquerita,2.6939655172413796e-05,A,Directed
44,Curtis Mayfield,2.6939655172413796e-05,A,Directed
45,Idina Menzel,2.6939655172413796e-05,A,Directed
46,Joe Williams,2.6939655172413796e-05,A,Directed
47,Pinback,2.6939655172413796e-05,A,Directed
48,Jamie O'Neal,2.6939655172413796e-05,A,Directed
49,Steve Cropper,2.6939655172413796e-05,A,Directed
50,Marisela,2.6939655172413796e-05,A,Directed
51,Alien Sex Fiend,2.6939655172413796e-05,A,Directed
52,Venom,2.6939655172413796e-05,A,Directed
53,Pistol Annies,2.6939655172413796e-05,A,Directed
54,Camila Cabello,2.6939655172413796e-05,A,Directed
55,Booker Ervin,2.6939655172413796e-05,A,Directed
56,Angela Winbush,2.6939655172413796e-05,A,Directed
57,Passion Pit,2.6939655172413796e-05,A,Directed
58,The Only Ones,2.6939655172413796e-05,A,Directed
59,The Georgia Satellites,2.6939655172413796e-05,A,Directed
60,The Cyrkle,2.6939655172413796e-05,A,Directed
61,"Johnny ""Big Moose"" Walker",2.6939655172413796e-05,A,Directed
62,Local H,2.6939655172413796e-05,A,Directed
63,Karen Harding,2.6939655172413796e-05,A,Directed
64,Kid Koala,2.6939655172413796e-05,A,Directed
