Id,Label,timeset,weight,color,modularity_class
0,The Exploited,,12,u,14
1,Special Duties,,0,C,14
2,Tricky,,12,h,2
3,PJ Harvey,,22,O,2
4,Bob Dylan,,389,l,3
5,Leonard Cohen,,64,u,3
6,The Gun Club,,9,j,0
7,Chrissie Hynde,,6,u,2
8,Crime & the City Solution,,3,h,2
9,Lesley Gore,,8,u,1
10,Massive Attack,,32,u,2
11,Nick Cave,,22,A,2
12,The Raincoats,,10,u,2
13,Pretenders,,34,u,2
14,Tom Waits,,48,A,3
15,Marianne Faithfull,,13,u,3
16,Patti Smith,,45,A,2
17,Sonic Youth,,71,u,2
18,Pere Ubu,,26,u,2
19,Pixies,,72,u,2
20,The Smiths,,83,u,2
21,X,,31,u,14
22,Captain Beefheart,,34,O,2
23,Bad Brains,,36,j,8
24,P.O.D.,,2,u,8
25,Black Flag,,93,u,14
26,Korn,,37,u,8
27,Faith No More,,37,Z,8
28,Eek-A-Mouse,,10,u,13
29,Santana,,32,u,0
30,Primus,,17,h,8
31,Metallica,,112,u,8
32,311,,16,u,8
33,Suicidal Tendencies,,23,u,8
34,Sepultura,,21,u,8
35,Extreme,,3,u,8
36,Tool,,26,u,8
37,Fishbone,,22,u,14
38,Jane's Addiction,,40,u,8
39,Living Colour,,10,l,8
40,Rage Against the Machine,,29,u,8
41,Red Hot Chili Peppers,,39,u,8
42,BÃ©la Fleck,,11,u,5
43,Tony Furtado,,0,u,5
44,Sam Bush,,7,u,5
45,Trey Anastasio,,1,u,2
46,Alice Cooper,,68,Y,8
47,Soundgarden,,42,u,8
48,Spinal Tap,,10,O,8
49,Blue Cheer,,28,u,8
50,Blue Ã–yster Cult,,22,u,8
51,Killing Joke,,23,u,8
52,Kiss,,89,u,8
53,Crazy Horse,,15,u,5
54,Led Zeppelin,,221,u,8
55,MC5,,64,A,8
56,Funkadelic,,44,P,9
57,Gene Simmons,,9,Y,8
58,Melvins,,27,u,8
59,Jimi Hendrix,,201,A,0
60,Neil Young,,148,l,3
61,Ohio Players,,27,u,9
62,Wipers,,12,u,2
63,Ramones,,127,u,14
64,Mountain,,18,u,8
65,The Stooges,,116,u,8
66,AC/DC,,65,u,8
67,Aerosmith,,67,j,8
68,Budgie,,8,u,8
69,The Beatles,,615,c,2
70,Black Sabbath,,171,u,8
71,Iron Butterfly,,22,u,8
72,The Velvet Underground,,181,l,2
73,Spice Girls,,22,t,1
74,t.A.T.u.,,1,u,1
75,Boney M.,,6,u,1
76,Gwen Stefani,,17,s,1
77,Britney Spears,,29,s,1
78,Tanya Tucker,,19,u,5
79,Pam Tillis,,11,u,5
80,Patty Loveless,,18,u,5
81,Bobbie Gentry,,11,u,5
82,The Judds,,17,u,5
83,Connie Smith,,7,u,5
84,Tammy Wynette,,32,u,5
85,Dolly Parton,,49,u,5
86,Janie Fricke,,5,u,5
87,Loretta Lynn,,47,u,5
88,Ray Price,,30,v,5
89,Skeeter Davis,,7,u,5
90,Lynn Anderson,,11,u,5
91,Soulfly,,4,u,8
92,All That Remains,,3,u,8
93,In Flames,,7,u,8
94,Biohazard,,13,u,8
95,Vision of Disorder,,9,u,8
96,Hatebreed,,14,u,8
97,At the Gates,,12,a,8
98,Olivier Messiaen,,3,v,6
99,GyÃ¶rgy KurtÃ¡g,,0,v,6
100,Daddy Yankee,,1,u,13
101,Speedy,,1,u,13
102,Spyro Gyra,,8,u,6
103,Allan Holdsworth,,1,u,6
104,Jo Stafford,,12,v,1
105,Allan Sherman,,2,A,4
106,Victor Borge,,1,v,4
107,Theodore Bikel,,1,v,4
108,Spike Jones,,20,A,4
109,Simon & Garfunkel,,46,u,3
110,Sergio Mendes,,5,u,7
111,The Beach Boys,,186,u,2
112,Les Baxter,,8,v,7
113,Caetano Veloso,,13,u,7
114,Burt Bacharach,,63,u,3
115,Baden Powell,,5,v,7
116,AntÃ´nio Carlos Jobim,,34,u,7
117,JoÃ£o Gilberto,,27,u,7
118,Frank Sinatra,,71,u,1
119,EdÃº Lobo,,4,u,7
120,John Cage,,34,v,2
121,Tangerine Dream,,34,u,2
122,Pink Floyd,,142,j,8
123,Miles Davis,,160,u,6
124,Terry Riley,,34,u,2
125,Jefferson Airplane,,25,u,3
126,Grateful Dead,,60,u,0
127,Joan Armatrading,,12,u,3
128,Tanita Tikaram,,0,u,3
129,TLC,,37,u,1
130,Total,,0,u,1
131,En Vogue,,22,u,1
132,Janet Jackson,,59,u,1
133,Mariah Carey,,42,t,1
134,R. Kelly,,38,u,9
135,Mary J. Blige,,34,u,1
136,Chaka Khan,,37,u,1
137,Whitney Houston,,45,u,1
138,Cream,,91,u,0
139,Pat Travers,,0,u,0
140,Elmore James,,51,v,0
141,Eric Clapton,,46,u,0
142,Deep Purple,,95,u,8
143,Jeff Beck,,45,u,0
144,Leslie West,,3,v,0
145,The Yardbirds,,105,N,0
146,Little Walter,,20,v,0
147,Robin Trower,,9,u,0
148,The Rolling Stones,,319,d,0
149,Barry Manilow,,14,u,1
150,Pablo Cruise,,1,u,5
151,America,,16,u,3
152,Poco,,14,u,5
153,Brand New,,4,d,14
154,Alexisonfire,,0,u,14
155,Sunny Day Real Estate,,33,u,14
156,Stone Temple Pilots,,23,u,8
157,Quicksand,,11,u,14
158,Joe,,2,u,9
159,Tank,,2,u,9
160,Leonard Bernstein,,7,v,3
161,Andrew Lloyd Webber,,14,u,1
162,Jule Styne,,2,v,1
163,George Martin,,3,u,1
164,Stephen Sondheim,,4,v,1
165,U-Roy,,24,S,13
166,Pato Banton,,4,u,13
167,Derrick Morgan,,10,v,13
168,Jimmy Cliff,,35,T,13
169,Aswad,,15,u,13
170,Steel Pulse,,13,u,13
171,Toots & the Maytals,,33,u,13
172,Desmond Dekker,,22,u,13
173,Prince Jazzbo,,4,u,13
174,Creedence Clearwater Revival,,35,M,0
175,Southern Culture on the Skids,,1,A,0
176,The Cramps,,20,A,0
177,Lynyrd Skynyrd,,39,u,0
178,Charlie Feathers,,9,u,0
179,Link Wray,,22,u,0
180,Sam the Sham & the Pharaohs,,9,Q,0
181,Screamin' Jay Hawkins,,21,A,0
182,Jerry Lee Lewis,,53,v,0
183,Brian Setzer,,4,U,0
184,Mojo Nixon,,1,u,0
185,Dave Edmunds,,10,d,0
186,ZZ Top,,23,u,0
187,Tony Joe White,,7,u,0
188,Keith Richards,,15,j,0
189,Johnny Cash,,112,v,5
190,The Ventures,,10,u,0
191,Molly Hatchet,,7,u,0
192,Cab Calloway,,27,v,9
193,T-Bone Walker,,48,v,0
