Id,Label,Weight,color,modularity_class
0,The Exploited,12,u,46
1,Special Duties,0,C,2
2,Tricky,12,h,33
3,PJ Harvey,22,O,14
4,Bob Dylan,389,l,37
5,Leonard Cohen,64,u,46
6,The Gun Club,9,j,35
7,Chrissie Hynde,6,u,46
8,Crime & the City Solution,3,h,33
9,Lesley Gore,8,u,46
10,Massive Attack,32,u,46
11,Nick Cave,22,A,0
12,The Raincoats,10,u,46
13,Pretenders,34,u,46
14,Tom Waits,48,A,0
15,Marianne Faithfull,13,u,46
16,Patti Smith,45,A,0
17,Sonic Youth,71,u,46
18,Pere Ubu,26,u,46
19,Pixies,72,u,46
20,The Smiths,83,u,46
21,X,31,u,46
22,Captain Beefheart,34,O,14
23,Bad Brains,36,j,35
24,P.O.D.,2,u,46
25,Black Flag,93,u,46
26,Korn,37,u,46
27,Faith No More,37,Z,25
28,Eek-A-Mouse,10,u,46
29,Santana,32,u,46
30,Primus,17,h,33
31,Metallica,112,u,46
32,311,16,u,46
33,Suicidal Tendencies,23,u,46
34,Sepultura,21,u,46
35,Extreme,3,u,46
36,Tool,26,u,46
37,Fishbone,22,u,46
38,Jane's Addiction,40,u,46
39,Living Colour,10,l,37
40,Rage Against the Machine,29,u,46
41,Red Hot Chili Peppers,39,u,46
42,BÃ©la Fleck,11,u,46
43,Tony Furtado,0,u,46
44,Sam Bush,7,u,46
45,Trey Anastasio,1,u,46
46,Alice Cooper,68,Y,24
47,Soundgarden,42,u,46
48,Spinal Tap,10,O,14
49,Blue Cheer,28,u,46
50,Blue Ã–yster Cult,22,u,46
51,Killing Joke,23,u,46
52,Kiss,89,u,46
53,Crazy Horse,15,u,46
54,Led Zeppelin,221,u,46
55,MC5,64,A,0
56,Funkadelic,44,P,15
57,Gene Simmons,9,Y,24
58,Melvins,27,u,46
59,Jimi Hendrix,201,A,0
60,Neil Young,148,l,37
61,Ohio Players,27,u,46
62,Wipers,12,u,46
63,Ramones,127,u,46
64,Mountain,18,u,46
65,The Stooges,116,u,46
66,AC/DC,65,u,46
67,Aerosmith,67,j,35
68,Budgie,8,u,46
69,The Beatles,615,c,28
70,Black Sabbath,171,u,46
71,Iron Butterfly,22,u,46
72,The Velvet Underground,181,l,37
73,Spice Girls,22,t,45
74,t.A.T.u.,1,u,46
75,Boney M.,6,u,46
76,Gwen Stefani,17,s,44
77,Britney Spears,29,s,44
78,Tanya Tucker,19,u,46
79,Pam Tillis,11,u,46
80,Patty Loveless,18,u,46
81,Bobbie Gentry,11,u,46
82,The Judds,17,u,46
83,Connie Smith,7,u,46
84,Tammy Wynette,32,u,46
85,Dolly Parton,49,u,46
86,Janie Fricke,5,u,46
87,Loretta Lynn,47,u,46
88,Ray Price,30,v,47
89,Skeeter Davis,7,u,46
90,Lynn Anderson,11,u,46
91,Soulfly,4,u,46
92,All That Remains,3,u,46
93,In Flames,7,u,46
94,Biohazard,13,u,46
95,Vision of Disorder,9,u,46
96,Hatebreed,14,u,46
97,At the Gates,12,a,26
98,Olivier Messiaen,3,v,47
99,GyÃ¶rgy KurtÃ¡g,0,v,47
100,Daddy Yankee,1,u,46
101,Speedy,1,u,46
102,Spyro Gyra,8,u,46
103,Allan Holdsworth,1,u,46
104,Jo Stafford,12,v,47
105,Allan Sherman,2,A,0
106,Victor Borge,1,v,47
107,Theodore Bikel,1,v,47
108,Spike Jones,20,A,0
109,Simon & Garfunkel,46,u,46
110,Sergio Mendes,5,u,46
111,The Beach Boys,186,u,46
112,Les Baxter,8,v,47
113,Caetano Veloso,13,u,46
114,Burt Bacharach,63,u,46
115,Baden Powell,5,v,47
116,AntÃ´nio Carlos Jobim,34,u,46
117,JoÃ£o Gilberto,27,u,46
118,Frank Sinatra,71,u,46
119,EdÃº Lobo,4,u,46
120,John Cage,34,v,47
121,Tangerine Dream,34,u,46
122,Pink Floyd,142,j,35
123,Miles Davis,160,u,46
124,Terry Riley,34,u,46
125,Jefferson Airplane,25,u,46
126,Grateful Dead,60,u,46
127,Joan Armatrading,12,u,46
128,Tanita Tikaram,0,u,46
129,TLC,37,u,46
130,Total,0,u,46
131,En Vogue,22,u,46
132,Janet Jackson,59,u,46
133,Mariah Carey,42,t,45
134,R. Kelly,38,u,46
135,Mary J. Blige,34,u,46
136,Chaka Khan,37,u,46
137,Whitney Houston,45,u,46
138,Cream,91,u,46
139,Pat Travers,0,u,46
140,Elmore James,51,v,47
141,Eric Clapton,46,u,46
142,Deep Purple,95,u,46
143,Jeff Beck,45,u,46
144,Leslie West,3,v,47
145,The Yardbirds,105,N,13
146,Little Walter,20,v,47
147,Robin Trower,9,u,46
148,The Rolling Stones,319,d,29
149,Barry Manilow,14,u,46
150,Pablo Cruise,1,u,46
151,America,16,u,46
152,Poco,14,u,46
153,Brand New,4,d,29
154,Alexisonfire,0,u,46
155,Sunny Day Real Estate,33,u,46
156,Stone Temple Pilots,23,u,46
157,Quicksand,11,u,46
158,Joe,2,u,46
159,Tank,2,u,46
160,Leonard Bernstein,7,v,47
161,Andrew Lloyd Webber,14,u,46
162,Jule Styne,2,v,47
163,George Martin,3,u,46
164,Stephen Sondheim,4,v,47
165,U-Roy,24,S,18
166,Pato Banton,4,u,46
167,Derrick Morgan,10,v,47
168,Jimmy Cliff,35,T,19
169,Aswad,15,u,46
170,Steel Pulse,13,u,46
171,Toots & the Maytals,33,u,46
172,Desmond Dekker,22,u,46
173,Prince Jazzbo,4,u,46
174,Creedence Clearwater Revival,35,M,12
175,Southern Culture on the Skids,1,A,0
176,The Cramps,20,A,0
177,Lynyrd Skynyrd,39,u,46
178,Charlie Feathers,9,u,46
179,Link Wray,22,u,46
180,Sam the Sham & the Pharaohs,9,Q,16
181,Screamin' Jay Hawkins,21,A,0
182,Jerry Lee Lewis,53,v,47
183,Brian Setzer,4,U,20
184,Mojo Nixon,1,u,46
185,Dave Edmunds,10,d,29
186,ZZ Top,23,u,46
187,Tony Joe White,7,u,46
188,Keith Richards,15,j,35
189,Johnny Cash,112,v,47
190,The Ventures,10,u,46
191,Molly Hatchet,7,u,46
192,Cab Calloway,27,v,47
193,T-Bone Walker,48,v,47
194,Charlie Christian,35,v,47
195,Tony Rebel,0,u,46
196,T.S.O.L.,1,u,46
197,The Dickies,13,u,46
198,The Weirdos,11,u,46
199,Steven Halpern,4,u,46
200,Parijat,0,u,46
201,George Duke,16,u,46
202,T-Connection,0,u,46
203,Paula Abdul,9,t,45
204,Selena,13,t,45
205,Cyndi Lauper,18,u,46
206,Fito Olivares,1,u,46
207,Madonna,77,G,6
208,Donna Summer,34,u,46
209,Gloria Estefan,16,t,45
210,Los Tigres del Norte,8,u,46
211,The Kinks,192,d,29
212,Space,1,u,46
213,The Who,149,N,13
214,Syreeta,5,v,47
215,Alicia Keys,6,u,46
216,Natalie Cole,14,u,46
217,Isaac Hayes,35,u,46
218,D'Angelo,26,u,46
219,Faith Evans,14,u,46
220,Dionne Warwick,32,u,46
221,Erykah Badu,19,u,46
222,Sade,28,u,46
223,Roberta Flack,35,u,46
224,Marvin Gaye,169,j,35
225,Prince,94,l,37
226,Nina Simone,52,u,46
227,The Sweet Inspirations,9,v,47
228,Brenda Russell,7,u,46
229,Stevie Wonder,138,u,46
230,Maxwell,7,u,46
231,Oleta Adams,1,u,46
232,Aretha Franklin,95,u,46
233,Allen Toussaint,22,v,47
234,Slayer,69,u,46
235,Pantera,37,a,26
236,Iron Maiden,69,u,46
237,Corrosion of Conformity,13,u,46
238,Exhorder,1,u,46
239,Judas Priest,73,u,46
240,Van Halen,54,u,46
241,Saint Vitus,10,u,46
242,Venom,31,u,46
243,Napalm Death,13,C,2
244,Negative Approach,6,u,46
245,Megadeth,24,u,46
246,Ozzy Osbourne,27,u,46
247,Anthrax,30,u,46
248,MotÃ¶rhead,55,u,46
249,Godflesh,7,u,46
250,Annihilator,7,u,46
251,Manowar,14,u,46
252,Ted Nugent,23,d,29
253,Testament,12,u,46
254,Anvil,8,u,46
255,Danzig,15,u,46
256,System of a Down,7,u,46
257,John Frusciante,8,u,46
258,Rollins Band,8,u,46
259,Nine Inch Nails,34,u,46
