influencer_id,influencer_name,influencer_main_genre,influencer_active_start,follower_id,follower_name,follower_main_genre,follower_active_start
66429,Bobby Bare,Country,1950,72205,Billy Joe Shaver,Country,1960
76881,Jimmy Reed,Blues,1940,28166,Slim Harpo,Blues,1950
680522,Yaz,Pop/Rock,1980,20919,Amber,Electronic,1990
97529,Booker Little,Jazz,1950,20971,Terence Blanchard,Jazz,1980
806247,Charlie Daniels,Country,1950,15318,Travis Tritt,Country,1980
76057,King Crimson,Pop/Rock,1960,14757,Trans-Siberian Orchestra,Classical,1990
793988,Eddie Cochran,Pop/Rock,1950,72205,Billy Joe Shaver,Country,1960
81017,Kitaro,New Age,1970,14757,Trans-Siberian Orchestra,Classical,1990
492331,Pretenders,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
62823,Bad Religion,Pop/Rock,1980,10982,All,Pop/Rock,1980
863790,Rage Against the Machine,Pop/Rock,1990,5501,System of a Down,Pop/Rock,1990
747445,Patti Smith,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
61479,The Five Satins,R&B;,1950,7448,The Delfonics,R&B;,1960
100160,The Kinks,Pop/Rock,1960,9490,Shed Seven,Pop/Rock,1990
117844,"Hank Williams, Jr.",Country,1950,21008,Trick Pony,Country,1990
745241,Status Quo,Pop/Rock,1960,12654,Spinal Tap,Comedy/Spoken,1980
838272,Pere Ubu,Pop/Rock,1970,335,PJ Harvey,Pop/Rock,1990
855836,The Promise Ring,Pop/Rock,1990,8591,Sparta,Pop/Rock,2000
58549,Elvis Costello,Pop/Rock,1970,14931,Tasmin Archer,R&B;,1990
112462,Cream,Pop/Rock,1960,14959,Taste,Pop/Rock,1960
771438,Black Sabbath,Pop/Rock,1960,31324,Sodom,Pop/Rock,1980
642542,Burt Bacharach,Pop/Rock,1950,2330,Sergio Mendes,Easy Listening,1960
446509,Metallica,Pop/Rock,1980,1098,Soundgarden,Pop/Rock,1980
796734,Elton John,Pop/Rock,1960,18977,Barry Manilow,Pop/Rock,1970
781837,Ant̫nio Carlos Jobim,Latin,1950,2330,Sergio Mendes,Easy Listening,1960
273531,Liza Minnelli,Vocal,1940,17937,Patti LuPone,Vocal,1960
744265,Tony Joe White,Pop/Rock,1960,3669,Southern Culture on the Skids,Pop/Rock,1980
422947,Minor Threat,Pop/Rock,1980,39013,Alkaline Trio,Pop/Rock,1990
38490,The Band,Pop/Rock,1960,10412,Spin Doctors,Pop/Rock,1980
767068,Keith Richards,Pop/Rock,1960,3669,Southern Culture on the Skids,Pop/Rock,1980
805930,Charlie Christian,Jazz,1930,3829,T-Bone Walker,Blues,1930
349157,Melvins,Pop/Rock,1980,1098,Soundgarden,Pop/Rock,1980
305501,Roger,R&B;,1970,18176,Teddy Riley,R&B;,1980
635413,Cabaret Voltaire,Pop/Rock,1970,26520,Stereolab,Pop/Rock,1990
316834,Marvin Gaye,R&B;,1950,57280,Bilal,R&B;,1990
32366,Steve Goodman,Folk,1960,46794,Ani DiFranco,Pop/Rock,1980
