Source,Target,Type,Id,Weight
0,6,Directed,0,1
0,14,Directed,1,1
0,19,Directed,2,1
0,21,Directed,3,1
1,25,Directed,4,1
2,24,Directed,5,1
2,29,Directed,6,1
2,32,Directed,7,1
3,12,Directed,8,1
5,10,Directed,9,1
5,17,Directed,10,1
5,18,Directed,11,1
5,19,Directed,12,1
5,20,Directed,13,1
5,25,Directed,14,1
5,27,Directed,15,1
6,14,Directed,16,1
8,32,Directed,17,1
9,32,Directed,18,1
10,8,Directed,19,1
10,18,Directed,20,1
11,10,Directed,21,1
11,15,Directed,22,1
11,20,Directed,23,1
11,30,Directed,24,1
13,24,Directed,25,1
13,27,Directed,26,1
15,22,Directed,27,1
16,6,Directed,28,1
16,21,Directed,29,1
17,19,Directed,30,1
18,8,Directed,31,1
19,13,Directed,32,1
19,21,Directed,33,1
19,24,Directed,34,1
20,3,Directed,35,1
23,0,Directed,36,1
23,2,Directed,37,1
23,4,Directed,38,1
23,10,Directed,39,1
23,13,Directed,40,1
23,19,Directed,41,1
23,21,Directed,42,1
23,24,Directed,43,1
23,27,Directed,44,1
24,22,Directed,45,1
25,4,Directed,46,1
25,24,Directed,47,1
26,1,Directed,48,1
26,7,Directed,49,1
26,15,Directed,50,1
26,22,Directed,51,1
28,2,Directed,52,1
28,8,Directed,53,1
28,9,Directed,54,1
28,14,Directed,55,1
28,29,Directed,56,1
28,30,Directed,57,1
30,8,Directed,58,1
30,9,Directed,59,1
30,15,Directed,60,1
30,18,Directed,61,1
31,3,Directed,62,1
31,12,Directed,63,1
31,20,Directed,64,1
31,32,Directed,65,1
